Team,Adj OE,Adj DE,Barthag,Record,Wins,Games,eFG,eFG D.,FT Rate,FT Rate D,TOV%,TOV% D,O Reb%,Op OReb%,Raw T,2P %,2P % D.,3P %,3P % D.,Blk %,Blked %,Ast %,Op Ast %,3P Rate,3P Rate D,Adj. T,Avg Hgt.,Eff. Hgt.,Exp.,Year,PAKE,PASE,Talent,FT%,Op. FT%,PPP Off.,PPP Def.,Elite SOS
Saint Mary's,123.4,96.8,0.942,16–0,16,16,56,44.4,36.4,24,16.4,15.1,41.5,22.6,66.7,50.7,44.6,42.7,29.4,11.6,9.5,68.5,59.7,39.4,38.6,66.3,78.715,82.369,1.349,"2,026",0,0,36.989,80.4,73.9,1.244,0.941,11.575
Miami FL,119.9,103.3,0.847,15–3,15,18,58.1,50.2,40.3,30.2,14.4,19.4,38.1,25.1,70.5,61.1,49.1,34.4,34.5,10,7.1,58.2,57.1,32.1,40.5,69.9,78.417,81.492,1.67,"2,026",0,0,80.783,68.8,66.9,1.246,0.98,11.729
UCLA,123.6,98.1,0.935,17–1,17,18,56,46.2,35.7,35.2,12.4,19.7,30.9,33.3,66.9,54.4,50,39.2,27.8,9,7.5,59.2,63.1,35.7,45.9,66.6,77.997,81.299,2.244,"2,026",0,0,70.281,77.8,74,1.218,0.989,18.665
Clemson,114.5,96.5,0.877,13–3,13,16,54.2,46.6,42.1,30.7,13.7,19,30.1,25.8,65,57.2,50.4,33.7,27.8,8.2,9,52.9,43.4,44.7,43.4,64.8,77.953,81.538,2.344,"2,026",0,0,43.89,72,74.7,1.17,0.957,14.222
Villanova,122.2,103.2,0.875,13–3,13,16,55,52.5,33.8,30.1,14.5,19.6,35.6,30.9,66,54.5,52.8,37.1,34.7,5.1,7.5,57.9,50.2,45.5,37.3,65.6,77.57,80.705,1.548,"2,026",0,0,63.75,70.8,74.5,1.21,1.055,16.46
Ohio St.,125.5,101.7,0.918,14–3,14,17,60,49.9,42.7,32.1,15.6,16.4,30.9,27.8,68.7,63.3,51.8,37.3,31.5,6.6,7.2,52.1,48.7,44.1,41.2,68.8,77.666,81.619,1.779,"2,026",0,0,68.946,79.7,73.9,1.237,1.053,25.538
Georgia,123.4,103.7,0.881,14–4,14,18,55.8,48.2,37.2,30.6,13.5,20.2,36.8,35.1,75.2,58.2,47.1,35.2,33.4,17,9.4,49.1,48.4,44.3,35.8,74.7,77.415,81.51,1.553,"2,026",0,0,61.02,76.8,72,1.245,1.013,19.251
Utah St.,125.6,103.3,0.905,13–1,13,14,58.1,46.8,45.5,35.5,14,18.7,33.1,34.2,67.6,61.8,45.5,35.6,32.4,10.6,7.5,62.5,43.4,43,40.9,67.8,77.68,80.956,2.185,"2,026",0,0,26.458,70.2,77.2,1.24,1.032,12.664
TCU,111,98.7,0.794,14–5,14,19,51.2,49.7,39.1,24.4,15.8,20.9,36,28.4,68.6,52.2,48.1,33.1,35,13.3,10.8,64.9,66.9,38.5,37.4,67.8,76.426,79.205,1.807,"2,026",0,0,50.351,70.6,67.8,1.121,0.967,22.532
Saint Louis,125,102.7,0.906,18–0,18,18,63.7,43.8,36.6,35.2,16.2,17,32.8,26.3,72.1,62.2,43.6,43.7,29.5,8.9,10.3,59.4,47.2,46.8,40.2,71.8,77.534,80.111,1.939,"2,026",0,0,21.913,73.4,72.8,1.283,0.951,7.669
Iowa,121,96.3,0.933,14–3,14,17,56.6,50.7,39.7,38.9,14.6,21.7,31,28.4,64.4,59.4,50.5,34.9,34.1,7.4,7.3,60.7,48.3,40.5,38.1,64.7,78.486,80.798,1.776,"2,026",0,0,14.299,79.7,69.1,1.215,0.993,23.931
Santa Clara,121.8,100.2,0.904,13–1,13,14,53.7,49.1,26.5,38.4,14.1,21.5,38.4,29.7,70.4,56.1,50.5,33.9,31.1,11.1,6.6,58,62,44.7,36.6,71.5,78.351,81.822,1.435,"2,026",0,0,20.016,73.9,73.5,1.21,0.981,12.894
UCF,123.5,107.4,0.833,13–5,13,18,54.3,51.9,33.8,36.3,15,16.3,37.7,28.9,71.2,53.1,53,37.9,33.4,9.5,8.7,54.3,48.2,33,39.4,70.8,78.696,82.08,2.429,"2,026",0,0,42.096,76.3,74.2,1.2,1.091,21.742
Missouri,120.9,103.1,0.862,15–3,15,18,57.7,49.4,45,33.4,17.6,17.5,36.4,32.2,69.3,59.2,47.1,36.8,35,10.7,7.7,49.1,43.5,35.7,41.7,68.1,79.275,82.794,2.282,"2,026",0,0,66.401,72.1,72.8,1.212,1.048,20.976
Texas A&M,121.8,104,0.86,14–4,14,18,57.1,52.6,39.3,33.1,13.8,20.6,32.7,29,74.3,57.2,52.7,38,35,9.5,10.7,65.1,60.6,45.7,40.1,74.1,77.082,80.342,2.497,"2,026",0,0,29.541,75.8,74,1.247,1.036,15.556
North Carolina St.,118.5,98.9,0.889,11–6,11,17,55.3,48.7,36.3,31.8,13.9,18.6,31.6,31,69.6,55.6,51.9,36.5,29.9,10.5,7.3,55.5,50.9,44.2,44.9,69.6,77.762,79.315,2.189,"2,026",0,0,63.205,76,64.2,1.199,1.008,21.569
Texas,122.5,105.9,0.842,12–5,12,17,55.1,48.2,49.5,35.2,14.3,14.5,37,25.7,68.4,58.2,48,33.2,32.3,5.8,9.6,43.9,44.5,36.9,33.3,68.2,78.112,81.402,2.238,"2,026",0,0,55.968,74.3,73.4,1.232,1.037,19.25
SMU,124.8,104.3,0.887,15–3,15,18,57.9,50,32.1,30.3,14.7,19.4,35.4,33.8,72.3,57.3,47.6,39.3,35.1,13.8,7,60.5,61.7,35.2,46.2,70.7,78.116,82.065,2.034,"2,026",0,0,44.289,75.7,69.3,1.239,1.048,17.533
Miami OH,115.3,108.5,0.668,13–0,13,13,59.4,51.6,46.5,25.9,15.7,18.6,28,25.5,72.1,62.8,52.4,37,33.6,10.4,9,52.6,46.1,46.9,36.5,71.6,77.513,80.117,1.693,"2,026",0,0,11.186,77.9,73.7,1.226,1.022,4.416
VCU,118.1,106.3,0.77,15–2,15,17,55.5,47.1,44.9,30.3,14,17.5,33.6,30.6,70.1,55,45.2,37.4,33.9,10.7,7.1,56,46.1,43.8,33.6,70.7,77.713,80.893,1.703,"2,026",0,0,21.117,77,73.6,1.233,1.004,7.758
South Florida,119,102.6,0.846,12–2,12,14,52,46.4,40.9,35.5,13.2,18.8,40.2,30.6,71.4,53,43.4,33.9,34.2,10.8,13,65.1,47.2,45,37.6,71,77.061,79.722,2.247,"2,026",0,0,30.828,74.9,69.1,1.229,0.986,8.248
McNeese St.,115.7,102.8,0.796,12–0,12,12,55.2,49,43.6,36.1,14.9,27.2,37,32.8,67.1,55.6,49.4,36.3,32.4,18.9,4,59.4,59.4,34.2,48.5,68.3,77.089,79.745,1.919,"2,026",0,0,48.482,74.8,70.9,1.215,0.948,4.041
Akron,120.5,109.9,0.743,13–0,13,13,62.1,49.4,30.7,29.5,15.2,18.8,33.7,30.5,72.3,61.9,49.4,41.5,33,8.4,8.1,60.7,47.2,45.1,43,72.7,75.205,77.931,2.447,"2,026",0,0,12.8,80.7,70.7,1.286,1.031,3.413
Northern Iowa,107.3,100.2,0.687,11–5,11,16,54.7,49.2,30.2,26,14.6,19.6,23.5,25.6,63.4,57.9,53.5,33,29,10.6,7,58.8,48.1,38.7,42.4,62.8,77.565,79.727,2.321,"2,026",0,0,19.874,68.8,69.8,1.095,0.975,6.864
High Point,116.6,104.5,0.779,14–1,14,15,55.8,48.1,40.3,30.7,12.7,24.8,33.2,32.6,70.5,58.6,49.6,34.6,30.8,13.6,11,52.4,53.4,42.4,42.9,70.6,76.312,79.626,2.541,"2,026",0,0,13.909,76.2,69.6,1.236,0.943,2.679
Cal Baptist,107.3,99.3,0.709,15–0,15,15,48.3,42.9,40.7,33.7,16.3,19.4,39.2,29.1,66.6,47.7,45.3,33.1,25.2,8.5,7.6,37.1,32.5,32.7,31.9,65.9,76.493,81.394,2.169,"2,026",0,0,1.476,69.8,73.3,1.099,0.928,3.673
Hofstra,108.5,100.3,0.712,8–2,8,10,50.1,42.3,30.1,31.5,17.4,15.3,38.6,28.4,64.7,48.1,41.2,35.2,29.3,13.2,10.4,50.6,57.8,42.3,41.1,65,77.424,81.178,1.895,"2,026",0,0,0.2,75.6,70.5,1.123,0.949,3.799
Troy,112.3,108.8,0.59,8–3,8,11,53.1,48.5,30.9,27.8,14.2,16.5,34.1,33,64.6,53.1,50.3,35.4,30.6,11.8,9.5,60.9,48.2,45.8,40.7,64.4,77.648,80.428,1.897,"2,026",0,0,0.2,74.5,64.5,1.172,1.039,4.815
Hawaii,104.7,98.3,0.674,14–3,14,17,52.2,44.8,50.1,38.4,18.3,15.6,31.3,21.7,73.2,56.9,44.1,29.5,30.8,9.5,6.6,43.6,35.2,37.8,31.5,71.8,78.622,81.581,2.599,"2,026",0,0,9.248,71.7,67.5,1.091,0.931,5.097
North Dakota St.,109,104.4,0.622,10–1,10,11,53.5,50.1,29.3,25.1,16.2,18.9,35.9,24.7,70.4,51,53,37.8,30.9,9.2,9.5,53.3,47,43.9,43.6,69.4,76.177,79.574,1.834,"2,026",0,0,0.2,73.1,72.6,1.155,0.979,3.83
Penn,103.3,105.7,0.434,11–2,11,13,49.4,49.2,37,24.6,14.9,18.5,31.4,30.4,68.9,47.9,51.7,34.9,30,9,8,52.1,54.7,33.8,37.4,69.9,77.767,80.753,1.869,"2,026",0,0,17.192,65.7,68.9,1.062,1.011,5.557
Wright St.,111.4,110.5,0.523,9–5,9,14,53.6,53.5,42.2,30.5,16.2,16.4,35.5,26.1,68,57.3,53.6,30.2,35.6,10.7,6.7,42.3,38.8,31.1,33.2,67.1,76.946,79.547,1.245,"2,026",0,0,0.2,77.7,76.1,1.174,1.09,4.662
Kennesaw St.,113,108.3,0.62,10–3,10,13,54.2,46.6,47.8,49.6,16.7,16.6,36.2,32.1,71.7,53.2,44.9,36.9,32.8,17.8,14.3,55.8,47.5,45,38.9,71.9,78.338,80.486,1.297,"2,026",0,0,13.242,66.4,78.3,1.15,1.067,6.418
Tennessee St.,108.3,116.9,0.293,8–2,8,10,53.8,51.2,35.2,36.3,13.8,20.4,31.1,29.8,70.2,55,49.4,33.9,36.1,11.3,5.7,46.4,45.3,28.2,38.2,70.7,77.064,79.55,2.506,"2,026",0,0,3.291,73.3,73.1,1.157,1.04,1.644
Idaho,112.3,112,0.508,6–4,6,10,55.4,50.3,33.9,33.2,14.1,16.2,32.5,27.5,68.1,54.3,47.3,37.7,37.5,7.7,5.6,43.5,44.5,45.9,33,67.9,77.243,80.578,2.008,"2,026",0,0,0.2,73.3,79.8,1.185,1.084,4.71
Furman,104.7,107.2,0.433,8–5,8,13,53.2,49.1,35.9,23.3,17.9,14,33.3,28.4,65.8,57.4,48,32.2,33.7,8.4,12.8,57.2,47,46.3,41.1,66.1,79.189,81.426,1.607,"2,026",0,0,11.546,70.6,66.5,1.114,1.043,3.275
Queens,119.5,119.3,0.505,11–2,11,13,61.8,53.1,38.2,39.8,13.3,15.7,31.5,30.1,71.5,65,51.6,38.9,37.1,10.6,6.3,55.9,39.8,47.8,37.6,71.1,78.203,80.782,1.734,"2,026",0,0,9.008,75.8,75,1.298,1.133,2.294
Siena,109.3,112,0.43,9–4,9,13,52.3,49.5,30.8,23.2,14.2,15.4,34.4,26.4,63.8,53.8,47.3,32.6,35.3,9.5,8.6,54.9,47.6,30.7,38.8,65.1,76.737,79.979,1.725,"2,026",0,0,3.878,82.9,71.3,1.162,1.029,2.356
LIU,105.1,108.9,0.399,14–1,14,15,54.7,47.8,38.2,28.9,18.1,19.2,34,31.2,65.6,52.7,48.1,39.6,31.5,16.1,7.7,54.8,48.6,29.9,30.6,66.8,77.547,78.697,2.414,"2,026",0,0,0.2,70.3,69.1,1.126,0.992,1.917
Howard,107.1,109.5,0.437,7–4,7,11,55.4,48.2,43.1,35.6,20.3,22.3,41.9,33.3,69.6,53.3,46.6,39.7,34.3,11.2,8.8,67.9,41,33.7,31.6,69.9,76.234,78.574,1.89,"2,026",0,0,0.2,77.2,67.7,1.157,0.978,4.065
UMBC,105.4,110.2,0.375,13–2,13,15,53.2,47.6,35,23.4,12.9,15,25.6,25,65.6,52.2,48.9,36.5,30.2,5.6,5.2,40.3,31.1,38.9,35.3,66.6,76.971,79.569,2.082,"2,026",0,0,7.798,77.7,68,1.139,0.988,1.317
Lehigh,103.4,112.2,0.281,11–4,11,15,56.7,50,34.6,29.9,17.8,16.7,24.1,31.8,66.9,55.2,51.9,39.5,30.8,7.4,5.4,54.8,38.6,37.1,33.7,67.7,76.658,79.857,1.368,"2,026",0,0,0.826,74.7,73.9,1.109,1.058,2.318
Prairie View,95.8,110.2,0.167,6–3,6,9,46,49,44.2,34.5,15.5,19.6,28.6,31.3,72.2,45.3,46.3,31.7,36.4,17.2,6.1,53.6,36.8,30.4,32.8,71.2,76.428,79.342,2.802,"2,026",0,0,0.231,75.2,72.4,1.025,1.002,1.481
