Team,FG%,DUNKS FG%,DUNKS SHARE,DUNKS FG%D,DUNKS D SHARE,CLOSE TWOS FG%,CLOSE TWOS SHARE,CLOSE TWOS FG%D,CLOSE TWOS D SHARE,FARTHER TWOS FG%,FARTHER TWOS SHARE,FARTHER TWOS FG%D,FARTHER TWOS D SHARE,FG%,Share,FG%,Share
Miami OH,MAC,96.2,5.6,93,3.8,68.2,39.9,58.2,38.2,44.1,15.4,41.6,25,37.5,44.6,33,36.8
VCU,A10,85.3,9.8,91,5.1,57.8,39.7,53.4,44.8,42.6,16.5,37.6,20.6,36.7,43.8,33.1,34.7
South Florida,Amer,82,13.6,81,6.6,55.6,46.8,54.1,35.7,33.3,9.4,36,24.8,33.1,43.8,33.9,39.5
McNeese St.,Slnd,94.7,9.5,83.3,5.6,58.4,45.5,55,35,39.8,19.4,37.6,18.3,31.6,35.1,32.5,46.8
Akron,MAC,93.1,7.9,87,4.2,65,39.2,55.6,38.2,44.3,15.7,35.4,18.5,38.5,45.1,35.1,43.2
Northern Iowa,MVC,87.5,8.5,77.3,4.1,61.8,39.8,55.9,37.6,43,20.6,39.3,20.9,34.9,39.6,28.9,41.5
High Point,BSth,82.5,7.4,84.4,7.4,62.8,44.8,57.6,41.4,36.3,12.3,37.2,17.2,34.4,42.9,31.9,41.4
Cal Baptist,WAC,80.7,8.6,72.1,5.3,51.1,47,51.9,42.2,40,20.8,39.7,26,33.7,32.1,29.7,31.7
Hofstra,CAA,86.1,7.4,89.1,4.2,57.1,31.3,51.3,32.9,38.2,25.5,35.2,26.4,36.8,43.1,32.3,40.6
Troy,SB,85.9,7.7,96.2,4.6,57.4,44.2,56,39.9,37.4,10.2,44.6,21.7,33.2,45.6,31.3,38.4
Hawaii,BW,80.5,7.3,85.1,3.9,60.6,45.2,52.4,41.3,38,15.1,37.4,26.3,31.6,39.7,30.7,32.4
North Dakota St.,Sum,94.8,7.1,88.7,5.4,60.4,36.9,59.7,35,40.1,20.4,40.6,20.6,35.7,42.7,33.5,44.4
Penn,Ivy,90.6,2.9,77.8,6.2,53.7,37.4,61.4,40.6,36,27.6,40.3,20.2,38.7,35,31.7,39.3
Wright St.,Horz,91.2,5.5,91.1,4.5,61.6,45.9,58.1,42.3,38.6,20.4,43.6,23.5,36.1,33.7,33.6,34.2
Kennesaw St.,CUSA,91,6.3,83.5,7.5,57.2,41.6,50.6,42.2,33.4,15.5,39.3,19.6,33.7,42.9,33.9,38.3
Tennessee St.,OVC,87.2,9.4,85.4,8.6,59.7,40.4,56.7,44.5,36.3,28.9,40.5,19.5,33.7,30.7,33.5,36
Idaho,BSky,79.3,2.9,82.2,3.8,57.8,37.2,56.2,36.6,38.5,16,40.1,27.6,34.5,46.8,34.8,35.8
Furman,SC,83.7,13,83,4.4,62.8,39.2,55.7,37.2,48.6,14.5,42.4,20.9,33.3,46.3,32.6,41.9
Queens,ASun,94.6,7,88,6.2,64,40.1,59.1,42.4,43.7,13.1,42.4,18,35.9,46.8,35.8,39.5
Siena,MAAC,94.9,4.6,84.3,4.4,58.4,40.9,53.3,37.7,44.5,27.2,40,23,30.4,31.9,32.8,39.3
LIU,NEC,86.7,12.5,91.2,4.3,59.8,46.6,54.9,44.2,39.9,24.4,42.7,22.6,36.1,29,31.9,33.2
Howard,MEAC,92,8.2,89.2,6.1,53.9,48.9,56.3,43.8,38.1,16.8,32.5,22.2,34.7,34.3,30.4,34
UMBC,AE,87.7,5.5,87,4.9,61.6,37.9,54.8,42.7,41.5,23.3,38.6,19.5,35.9,38.8,32.2,37.8
Lehigh,Pat,89.1,4.2,82.7,4,62.1,34.6,55.9,44.6,40.1,27.2,42.3,23.2,36.5,38.2,32.8,32.2
Prairie View,SWAC,92.9,2.2,89.9,7.2,55.6,38.4,56.8,44.8,36.3,30.7,34.6,22.5,33.2,30.9,35,32.7
